pdb_id;organism_scientific_name;organism_synonyms;rank;genus;superkingdom;assembly_composition;assembly_type;entity_id
7a5h;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;59-mer;56
6wd6;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd4;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd3;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd3;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
6wd5;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd5;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
6wd2;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd7;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd9;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
6wd9;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd2;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
6wd7;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
7k54;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
7k54;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
6wd8;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
6wd8;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;57
7pjz;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
7pjz;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
7pjy;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
7pjy;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
7pjx;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
7pjx;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
5afi;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;22
5afi;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;24
7pjw;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
7pjw;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
7pjv;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;55
7pjv;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;59-mer;56
6ztm;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom,species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;DNA/RNA/protein complex;60-mer;23
6ztm;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom,species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;DNA/RNA/protein complex;60-mer;24
7pd3;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;60-mer;12
7pd3;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;60-mer;49
7pd3;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;60-mer;58
5u9f;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;5
5uym;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uym;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
5u9g;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;5
6bu8;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
6bu8;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
6q97;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;60
5uyn;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
5uyn;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uyq;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
5uyl;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uyl;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
6q97;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;6
5uyp;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uyp;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
5uyq;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uyk;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
5uyk;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;58
4v7d;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
4v68;Thermus thermophilus;"Theth,Thermus Aquaticus Flavus,Thermus Aquaticus (Subsp. Flavus),Thermus Aquaticus Thermophilus,""Flavobacterium Thermophilum"" Yoshida And Oshima 1971,Thermus Aquaticus (Subsp. Thermophilus),Thermus Thermophilus,Thermus Flavus,Thermus Aquaticus Subsp. Thermophilus,Thermus thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcota,Bacteria";species,genus,family,order,class,phylum,superkingdom;Thermus;Bacteria;RNA/protein complex;60-mer;22
4v68;Thermus thermophilus;"Theth,Thermus Aquaticus Flavus,Thermus Aquaticus (Subsp. Flavus),Thermus Aquaticus Thermophilus,""Flavobacterium Thermophilum"" Yoshida And Oshima 1971,Thermus Aquaticus (Subsp. Thermophilus),Thermus Thermophilus,Thermus Flavus,Thermus Aquaticus Subsp. Thermophilus,Thermus thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcota,Bacteria";species,genus,family,order,class,phylum,superkingdom;Thermus;Bacteria;RNA/protein complex;60-mer;24
4v68;Thermus thermophilus;"Theth,Thermus Aquaticus Flavus,Thermus Aquaticus (Subsp. Flavus),Thermus Aquaticus Thermophilus,""Flavobacterium Thermophilum"" Yoshida And Oshima 1971,Thermus Aquaticus (Subsp. Thermophilus),Thermus Thermophilus,Thermus Flavus,Thermus Aquaticus Subsp. Thermophilus,Thermus thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcota,Bacteria";species,genus,family,order,class,phylum,superkingdom;Thermus;Bacteria;RNA/protein complex;60-mer;25
4v8q;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom,species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;56
8pkl;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;33
8pkl;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;34
6fti;Oryctolagus cuniculus;New Zealand Rabbit,Rabbit,Oryctolagus Cuniculus (Rabbit),European Rabbit,Oryctolagus Cuniculus,Japanese White Rabbit,Rabit,Domestic Rabbit,Lepus Cuniculus,Rabbits,Oryctolagus cuniculus,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Oryctolagus;Eukaryota;RNA/protein complex;60-mer;45
8pkl;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;32
6gsl;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;22
6gsl;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;23
6gsl;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;60-mer;24
